"Description","Count"
"i apologize for the short notice-- thanks!",1
"i apologize about the late request",1
"i am submitting a new entry with the correct spelling",1
"i am resubmitting this request from previous #u50758 instead of 4:00 p.m. it will be at 5:30 p.m",1
"i am resubmitting this request b/c my original request did not include the full name correctly",1
"i am resubmitting this name there was a spelling error in the previously submitted name",1
"i am editing a visitors name from the original appointment request (u68755). the original name appears as cristina niseta quico de riley th",1
"i am doing a last minute request per andy kalnins the employee has been waiting in the lobby for over a half hour thanks",1
"husband",1
"hunnakah reception - potus",1
"hsc event",1
"hs1",1
"hr orientation and briefing",1
"hr meeting with employees",1
"hr appointment",1
"hoyer staffer for picnic",1
"hoyer staffer",1
"howard requested time change",1
"house saa",1
"honor guard addition for arrival ceremony",1
"holiday reception/enter at se gate",1
"holiday reception 99",1
"holiday reception 98",1
"holiday reception 97",1
"holiday reception 96",1
"holiday reception 95",1
"holiday reception 94",1
"holiday reception 93",1
"holiday reception 92",1
"holiday reception 91",1
"holiday reception 90",1
"holiday reception 9",1
"holiday reception 89",1
"holiday reception 88",1
"holiday reception 87",1
"holiday reception 86",1
"holiday reception 85",1
"holiday reception 84",1
"holiday reception 83",1
"holiday reception 82",1
"holiday reception 81",1
"holiday reception 80",1
"holiday reception 8",1
"holiday reception 79",1
"holiday reception 78",1
"holiday reception 77",1
"holiday reception 76",1
"holiday reception 75",1
"holiday reception 74",1
"holiday reception 73",1
"holiday reception 72",1
"holiday reception 71",1
"holiday reception 70",1
"holiday reception 7",1
"holiday reception 69",1
"holiday reception 68",1
"holiday reception 67",1
"holiday reception 66",1
"holiday reception 65",1
"holiday reception 64",1
"holiday reception 63",1
"holiday reception 62",1
"holiday reception 61",1
"holiday reception 60",1
"holiday reception 6",1
"holiday reception 59",1
"holiday reception 58",1
"holiday reception 57",1
"holiday reception 56",1
"holiday reception 55",1
"holiday reception 54",1
"holiday reception 53",1
"holiday reception 52",1
"holiday reception 51",1
"holiday reception 507",1
"holiday reception 506",1
"holiday reception 505",1
"holiday reception 504",1
"holiday reception 503",1
"holiday reception 502",1
"holiday reception 501",1
"holiday reception 500",1
"holiday reception 50",1
"holiday reception 5",1
"holiday reception 499",1
"holiday reception 498",1
"holiday reception 497",1
"holiday reception 496",1
"holiday reception 495",1
"holiday reception 494",1
"holiday reception 493",1
"holiday reception 492",1
"holiday reception 491",1
"holiday reception 490",1
"holiday reception 49",1
"holiday reception 489",1
"holiday reception 488",1
"holiday reception 487",1
"holiday reception 486",1
"holiday reception 485",1
"holiday reception 484",1
"holiday reception 483",1
"holiday reception 482",1
"holiday reception 481",1
"holiday reception 480",1
"holiday reception 48",1
"holiday reception 479",1
"holiday reception 478",1
"holiday reception 477",1
"holiday reception 476",1
"holiday reception 475",1
"holiday reception 474",1
"holiday reception 473",1
"holiday reception 472",1
"holiday reception 471",1
"holiday reception 470",1
"holiday reception 47",1
"holiday reception 469",1
"holiday reception 468",1
"holiday reception 467",1
"holiday reception 466",1
"holiday reception 465",1
"holiday reception 464",1
"holiday reception 463",1
"holiday reception 462",1
"holiday reception 461",1
"holiday reception 460",1
"holiday reception 46",1
"holiday reception 459",1
"holiday reception 458",1
"holiday reception 457",1
"holiday reception 456",1
"holiday reception 455",1
"holiday reception 454",1
"holiday reception 453",1
"holiday reception 452",1
"holiday reception 451",1
"holiday reception 450",1
"holiday reception 45",1
"holiday reception 449",1
"holiday reception 448",1
"holiday reception 447",1
"holiday reception 446",1
"holiday reception 445",1
"holiday reception 444",1
"holiday reception 443",1
"holiday reception 442",1
"holiday reception 441",1
"holiday reception 440",1
"holiday reception 44",1
"holiday reception 439",1
"holiday reception 438",1
"holiday reception 437",1
"holiday reception 436",1
"holiday reception 435",1
"holiday reception 434",1
"holiday reception 433",1
"holiday reception 432",1
"holiday reception 431",1
"holiday reception 430",1
"holiday reception 43",1
"holiday reception 429",1
"holiday reception 428",1
"holiday reception 427",1
"holiday reception 426",1
"holiday reception 425",1
"holiday reception 424",1
"holiday reception 423",1
"holiday reception 422",1
"holiday reception 421",1
"holiday reception 420",1
"holiday reception 42",1
"holiday reception 419",1
"holiday reception 418",1
"holiday reception 417",1
"holiday reception 416",1
"holiday reception 415",1
"holiday reception 414",1
"holiday reception 413",1
"holiday reception 412",1
"holiday reception 411",1
"holiday reception 410",1
"holiday reception 41",1
"holiday reception 409",1
"holiday reception 408",1
"holiday reception 407",1
"holiday reception 406",1
"holiday reception 405",1
"holiday reception 404",1
"holiday reception 403",1
"holiday reception 402",1
"holiday reception 401",1
"holiday reception 400",1
"holiday reception 40",1
"holiday reception 4",1
"holiday reception 399",1
"holiday reception 398",1
"holiday reception 397",1
"holiday reception 396",1
"holiday reception 395",1
"holiday reception 394",1
"holiday reception 393",1
"holiday reception 392",1
"holiday reception 391",1
"holiday reception 390",1
"holiday reception 39",1
"holiday reception 389",1
"holiday reception 388",1
"holiday reception 387",1
"holiday reception 386",1
"holiday reception 385",1
"holiday reception 384",1
"holiday reception 383",1
"holiday reception 382",1
"holiday reception 381",1
"holiday reception 380",1
"holiday reception 38",1
"holiday reception 379",1
"holiday reception 378",1
"holiday reception 377",1
"holiday reception 376",1
"holiday reception 375",1
"holiday reception 374",1
"holiday reception 373",1
"holiday reception 372",1
"holiday reception 371",1
"holiday reception 370",1
"holiday reception 37",1
"holiday reception 369",1
"holiday reception 368",1
"holiday reception 367",1
"holiday reception 366",1
"holiday reception 365",1
"holiday reception 364",1
"holiday reception 363",1
"holiday reception 362",1
"holiday reception 361",1
"holiday reception 360",1
"holiday reception 36",1
"holiday reception 359",1
"holiday reception 358",1
"holiday reception 357",1
"holiday reception 356",1
"holiday reception 355",1
"holiday reception 354",1
"holiday reception 353",1
"holiday reception 352",1
"holiday reception 351",1
"holiday reception 350",1
"holiday reception 35",1
"holiday reception 349",1
"holiday reception 348",1
"holiday reception 347",1
"holiday reception 346",1
"holiday reception 345",1
"holiday reception 344",1
"holiday reception 343",1
"holiday reception 342",1
"holiday reception 341",1
"holiday reception 340",1
"holiday reception 34",1
"holiday reception 339",1
"holiday reception 338",1
"holiday reception 337",1
"holiday reception 336",1
"holiday reception 335",1
"holiday reception 334",1
"holiday reception 333",1
"holiday reception 332",1
"holiday reception 331",1
"holiday reception 330",1
"holiday reception 33",1
"holiday reception 329",1
"holiday reception 328",1
"holiday reception 327",1
"holiday reception 326",1
"holiday reception 325",1
"holiday reception 324",1
"holiday reception 323",1
"holiday reception 322",1
"holiday reception 321",1
"holiday reception 320",1
"holiday reception 32",1
"holiday reception 319",1
"holiday reception 318",1
"holiday reception 317",1
"holiday reception 316",1
"holiday reception 315",1
"holiday reception 314",1
"holiday reception 313",1
"holiday reception 312",1
"holiday reception 311",1
"holiday reception 310",1
"holiday reception 31",1
"holiday reception 309",1
"holiday reception 308",1
"holiday reception 307",1
"holiday reception 306",1
"holiday reception 305",1
"holiday reception 304",1
"holiday reception 303",1
"holiday reception 302",1
"holiday reception 301",1
"holiday reception 300",1
"holiday reception 30",1
"holiday reception 3",1
"holiday reception 299",1
"holiday reception 298",1
"holiday reception 297",1
"holiday reception 296",1
"holiday reception 295",1
"holiday reception 294",1
"holiday reception 293",1
"holiday reception 292",1
"holiday reception 291",1
"holiday reception 290",1
"holiday reception 29",1
"holiday reception 289",1
"holiday reception 288",1
"holiday reception 287",1
"holiday reception 286",1
"holiday reception 285",1
"holiday reception 284",1
"holiday reception 283",1
"holiday reception 282",1
"holiday reception 281",1
"holiday reception 280",1
"holiday reception 28",1
"holiday reception 279",1
"holiday reception 278",1
"holiday reception 277",1
"holiday reception 276",1
"holiday reception 275",1
"holiday reception 274",1
"holiday reception 273",1
"holiday reception 272",1
"holiday reception 271",1
"holiday reception 270",1
"holiday reception 27",1
"holiday reception 269",1
"holiday reception 268",1
"holiday reception 267",1
"holiday reception 266",1
"holiday reception 265",1
"holiday reception 264",1
"holiday reception 263",1
"holiday reception 262",1
"holiday reception 261",1
"holiday reception 260",1
"holiday reception 26",1
"holiday reception 259",1
"holiday reception 258",1
"holiday reception 257",1
"holiday reception 256",1
"holiday reception 255",1
"holiday reception 254",1
"holiday reception 253",1
"holiday reception 252",1
"holiday reception 251",1
"holiday reception 250",1
"holiday reception 25",1
"holiday reception 249",1
"holiday reception 248",1
"holiday reception 247",1
"holiday reception 246",1
"holiday reception 245",1
"holiday reception 244",1
"holiday reception 243",1
"holiday reception 242",1
"holiday reception 241",1
"holiday reception 240",1
"holiday reception 24",1
"holiday reception 239",1
"holiday reception 238",1
"holiday reception 237",1
"holiday reception 236",1
"holiday reception 235",1
"holiday reception 234",1
"holiday reception 233",1
"holiday reception 232",1
"holiday reception 231",1
"holiday reception 230",1
"holiday reception 23",1
"holiday reception 229",1
"holiday reception 228",1
"holiday reception 227",1
"holiday reception 226",1
"holiday reception 225",1
"holiday reception 224",1
"holiday reception 223",1
"holiday reception 222",1
"holiday reception 221",1
"holiday reception 220",1
"holiday reception 22",1
"holiday reception 219",1
"holiday reception 218",1
"holiday reception 217",1
"holiday reception 216",1
"holiday reception 215",1
"holiday reception 214",1
"holiday reception 213",1
"holiday reception 212",1
"holiday reception 211",1
"holiday reception 210",1
"holiday reception 21",1
"holiday reception 209",1
"holiday reception 208",1
"holiday reception 207",1
"holiday reception 206",1
"holiday reception 205",1
"holiday reception 204",1
"holiday reception 203",1
"holiday reception 202",1
"holiday reception 201",1
"holiday reception 200",1
"holiday reception 20",1
"holiday reception 2",1
"holiday reception 199",1
"holiday reception 198",1
"holiday reception 197",1
"holiday reception 196",1
"holiday reception 195",1
"holiday reception 194",1
"holiday reception 193",1
"holiday reception 192",1
"holiday reception 191",1
"holiday reception 190",1
"holiday reception 19",1
"holiday reception 189",1
"holiday reception 188",1
"holiday reception 187",1
"holiday reception 186",1
"holiday reception 185",1
"holiday reception 184",1
"holiday reception 183",1
"holiday reception 182",1
"holiday reception 181",1
"holiday reception 180",1
"holiday reception 18",1
"holiday reception 179",1
"holiday reception 178",1
"holiday reception 177",1
"holiday reception 176",1
"holiday reception 175",1
"holiday reception 174",1
"holiday reception 173",1
"holiday reception 172",1
"holiday reception 171",1
"holiday reception 170",1
"holiday reception 17",1
"holiday reception 169",1
"holiday reception 168",1
"holiday reception 167",1
"holiday reception 166",1
"holiday reception 165",1
"holiday reception 164",1
"holiday reception 163",1
"holiday reception 162",1
"holiday reception 161",1
"holiday reception 160",1
"holiday reception 16",1
"holiday reception 159",1
"holiday reception 158",1
"holiday reception 157",1
"holiday reception 156",1
"holiday reception 155",1
"holiday reception 154",1
"holiday reception 153",1
"holiday reception 152",1
"holiday reception 151",1
"holiday reception 150",1
"holiday reception 15",1
"holiday reception 149",1
"holiday reception 148",1
"holiday reception 147",1
"holiday reception 146",1
"holiday reception 145",1
"holiday reception 144",1
"holiday reception 143",1
"holiday reception 142",1
"holiday reception 141",1
"holiday reception 140",1
"holiday reception 14",1
"holiday reception 139",1
"holiday reception 138",1
"holiday reception 137",1
"holiday reception 136",1
"holiday reception 135",1
"holiday reception 134",1
"holiday reception 133",1
"holiday reception 132",1
"holiday reception 131",1
"holiday reception 130",1
"holiday reception 13",1
"holiday reception 129",1
"holiday reception 128",1
"holiday reception 127",1
"holiday reception 126",1
"holiday reception 125",1
"holiday reception 124",1
"holiday reception 123",1
"holiday reception 122",1
"holiday reception 121",1
"holiday reception 120",1
"holiday reception 12",1
"holiday reception 119",1
"holiday reception 118",1
"holiday reception 117",1
"holiday reception 116",1
"holiday reception 115",1
"holiday reception 114",1
"holiday reception 113",1
"holiday reception 112",1
"holiday reception 111",1
"holiday reception 110",1
"holiday reception 11",1
"holiday reception 109",1
"holiday reception 108",1
"holiday reception 107",1
"holiday reception 106",1
"holiday reception 105",1
"holiday reception 104",1
"holiday reception 103",1
"holiday reception 102",1
"holiday reception 101",1
"holiday reception 100",1
"holiday reception 10",1
"holiday open house - now",1
"holiday dinner",1
"holding in lobby while boss attends meeting",1
"holding in lobby during meeting his boss is in",1
"hmx1 departure",1
"hmx white house liaison support for scheduled hmx practice south lawn landings tomorrow from 12001400",1
"hmx departure -marine one",1
"hmx departure-marine one takeoff",1
"hmx departure-marine one",1
"hmx-marine one",1
"hiv/aids and latino meeting",1
"his badge was given to someone else so he needs to be recleared",1
"hhs staff",1
"here to attend smsgt deans retirement",1
"here for whmu neurology appointment",1
"here for appointment for navy mess",1
"her majestys treasury director for international finance. uk citizen. here for official bilat. please clear asap",1
"helping with iftar dinner",1
"helpdesk",1
"help set up room 476 for swedish minister meeting tomorrow. thank you. amy",1
"helicopter arrival/south lawn",1
"healthy kids interagency working g",1
"health/benefits fair -- late arrival",1
"health unit nurse",1
"health unit -",1
"health unit",1
"health reform reception",1
"health clinic appointment",1
"health care briefing",1
"health and wellness council smoothiely blend healthiness into your life event",1
"he will wait in the ww during the meeting",1
"he will drop vp gore at the ww entrance and wait in the car for him until he is done with lunch with potus",1
"he will drop off exim bank chairman fred hochberg on west exec. and then park on state place",1
"he will be traveling w/secretary perez and going to the state floor",1
"he will be driving in from the 17th and e st. entrance",1
"he will be coming in the ne gate",1
"he will be coming at 1:45",1
"he was not given the proper badge so i am resubmitting this waves request",1
"he needs to have access to the west wing and the white house to perform his daily duties as a shift worker",1
"he may be on the access list but as that is unclear i am submitting wave info",1
"he is part of the origial group u#68755. his birthday is updated to this current request",1
"he is our intern starting today but was not put on the awaiting pass list for some reason. so am waveing him in for now. thanks",1
"he is meeting mikey dickerson on west exec to take a car to hhs (along with kristie canegallo)",1
"he is joining the basketball game on the south lawn court",1
"he is former vice president al gores dr",1
"he is coming first to eeob 240 to meet beth and then she is walking with him to a noon lunch at the mess",1
"he is a new ceq detailee. today is his first day",1
"he is a contractor that will be providing tech support on the south lawn",1
"hbcu event",1
"haymarket center",1
"having lunch with me in the ike cafeteria in the eeob",1
"having lunch with friend at ikes cafeteria in the eeob",1
"having lunch with a guest in the ikes cafeteria in the eeob",1
"having lunch with a guest at the ikes cafeteria in the eeob",1
"having lunch with a friend at the ikes cafeteria eeob",1
"having lunch in wh mess with nathan tibbits",1
"having lunch in the white house mess",1
"having lunch in the wh mess with nate tibbits",1
"having lunch in the ikes cafeteria eeob",1
"having lunch in the ike cafeteria in the eeob",1
"having lunch in mess please allow to come through west wing",1
"having lunch at the ikes cafeteria in the eeob",1
"having late lunch with guest at the eeob ikes cafeteria",1
"having computer issues with password and was advised to come over to the oa service desk",1
"having a late lunch with a friend at the ike cafeteria in the eeob",1
"have not been put on the awaiting pass list yet",1
"have been cleared previously for 12:30. time has expired and have to rewave",1
"has already been cleared but dob was wrong so providing correct dob",1
"hanukkah",1
"halloween trick or treating in eeob",1
"hallowee reclear",1
"had been cleared for a 9am appointment but arrived an hour late and missed the window",1
"had a digit wrong on the ssn",1
"gym workout",1
"gutierrez staff",1
"guided tour",1
"guestswillenterthroughtheww",1
"guestsfortheambassadorsreception",1
"guestsforcooperhewittnationaldesignawards",1
"guests for the ambassador's reception",1
"guests for memorial day breakfast",1
"guests for cooper hewitt national design awards",1
"guests for an event with the phillies",1
"guests",1
"guestlistforareceptiononthestatefloor",1
"guest will go to breakfast in wh mess as guest of samuel meyer",1
"guest will be accompanying sec. moniz to the meeting in the wh",1
"guest will arrive in secretary burwells vehicle",1
"guest was left off the original list by dr. morrows office",1
"guest that was left off group tour",1
"guest that fell of group listclear",1
"guest part of group but fell off list",1
"guest of ss / hmx arrival",1
"guest of sen. durbin",1
"guest of ryan metcalf using whac",1
"guest of justice sotomayor",1
"guest of deputy director marilyn quagliotti",1
"guest of deputy director marilyn a. quagliotti office of national drug control policy",1
"guest of deputy director marilyn a. quagliotti for lunch at the wh mess. thank you. amy",1
"guest of deputy director marilyn a. quagliotti at the wh mess for a noon sitting. thank you",1
"guest of deputy director marilyn a. quagliotti at the wh mess for 12noon appointment",1
"guest of christopher holdren (participant of departure photo event)",1
"guest not part of group list",1
"guest not onchild",1
"guest not on with the rest of her group",1
"guest not on lstclear",1
"guest not on group listclear",1
"guest may enter ww",1
"guest left off of listclear",1
"guest left off of list for kitchen garden tour happening now",1
"guest left off of groupclear",1
"guest left off of group submission",1
"guest left of of group listclear",1
"guest late addition",1
"guest is us ambassador to mexico",1
"guest is participating in a press conference with potus",1
"guest is going to the navy mess per p/h",1
"guest is attending engagement in ew102 and event in eeob350",1
"guest is arriving late for our white house bisexual community briefing",1
"guest is already cleared on previous appt. dob was wrong. u#: u10077appointment #: 648534",1
"guest is a blue badge passholder but he left his badge at home today",1
"guest for lunch at the wh mess",1
"guest fell off of group listclear",1
"guest dr; parking on upper east executive",1
"guest delayed so carnival requested time change",1
"guest attending ceremony",1
"guest at gate wasnt in initial rsvp list please expedite",1
"guest at first lady's mothers day tea",1
"gsa electric shop interview",1
"grouptour",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1426",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1425",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1424",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1423",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1422",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1421",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1420",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1419",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1418",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1417",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1416",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1415",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1414",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1413",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1412",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1411",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1410",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1409",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1408",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1407",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1406",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1405",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1404",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1403",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1402",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1401",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1400",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1399",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1398",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1397",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1396",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1395",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1394",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1393",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1392",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1391",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1390",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1389",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1388",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1387",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1386",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1385",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1384",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1383",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1382",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1381",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1380",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1379",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1378",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1377",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1376",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1375",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1374",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1373",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1372",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1371",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1370",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1369",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1368",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1367",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1366",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1365",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1364",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1363",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1362",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1361",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1360",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1359",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1358",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1357",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1356",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1355",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1354",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1353",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1352",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1351",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1350",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1349",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1348",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1347",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1346",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1345",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1344",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1343",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1342",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1341",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1340",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1339",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1338",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1337",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1336",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1335",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1334",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1333",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1332",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1331",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1330",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1329",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1328",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1327",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1326",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1325",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1324",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1323",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1322",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1321",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1320",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1319",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1318",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1317",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1316",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1315",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1314",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1313",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1312",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1311",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1310",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1309",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1308",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1307",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1306",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1305",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1304",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1303",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1302",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1301",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1300",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1299",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1298",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1297",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1296",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1295",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1294",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1293",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1292",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1291",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1290",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1289",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1288",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1287",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1286",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1285",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1284",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1283",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1282",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1281",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1280",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1279",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1278",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1277",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1276",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1275",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1274",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1273",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1272",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1271",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1270",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1269",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1268",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1267",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1266",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1265",1
"group tourtime changed from 2/15 @ 0900 to 2/14 @ 1264",1
